datetime,open,high,low,close,volume,end_time,adj_close,completed,open_60m_float,high_60m_float,low_60m_float,close_60m_float,Datetime,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev,willr_60m_float,willr_ema_60m_float,willr_ema_prev_60m_float
1614488580,200.21,202.08,200.12,201.79,596.686,1614488759999,201.79,True,199.89,203.87,197.88,201.79,2021-02-28 05:03:00,199.4778840416826,199.1797904331271,204.61811595831742,204.73220956687288,200.15,-55.97972738488644,-54.09131613481609,-82.94810292193634,-55.13796863079772,-53.81367652169588
1614488760,201.84,203.51,201.82,203.49,338.961,1614488939999,203.49,True,201.02,203.87,197.88,203.49,2021-02-28 05:06:00,199.5766768582027,199.4778840416826,204.77332314179733,204.61811595831742,201.79,-55.97972738488644,-54.09131613481609,-75.53423462712598,-54.47082510185317,-53.4678056006497
1614488940,203.44,204.32,203.35,203.87,295.97,1614489119999,203.87,True,201.68,204.32,197.88,203.87,2021-02-28 05:09:00,199.56843320545934,199.5766768582027,205.0015667945407,204.77332314179733,203.49,-55.97972738488644,-54.09131613481609,-73.87701700828606,-54.71473729285268,-53.802247782593945
1614489120,203.92,205.08,203.25,204.91,1071.806,1614489299999,204.91,True,201.17,205.08,197.88,204.91,2021-02-28 05:12:00,199.52942565537086,199.56843320545934,205.41757434462914,205.0015667945407,203.87,-55.97972738488644,-54.09131613481609,-69.34147405146096,-54.57139725953113,-53.86806026943923
1614489300,205.06,207.38,204.78,206.48,1078.573,1614489479999,206.48,True,202.79,207.38,197.88,206.48,2021-02-28 05:15:00,199.09501483885194,199.52942565537086,206.22498516114806,205.41757434462914,204.91,-55.97972738488644,-54.09131613481609,-62.49454862625386,-53.65002102390656,-53.2288530428424
1614489480,206.48,206.88,205.81,206.39,380.601,1614489659999,206.39,True,202.63,207.38,197.88,206.39,2021-02-28 05:18:00,198.82349162153562,199.09501483885194,206.87350837846438,206.22498516114806,206.48,-55.97972738488644,-54.09131613481609,-62.887047535979114,-53.859101552568546,-53.42919936288233
1614489660,206.37,206.83,205.16,205.48,442.274,1614489839999,205.48,True,202.87,207.38,197.88,205.48,2021-02-28 05:21:00,198.74262505535043,198.82349162153562,207.21437494464956,206.87350837846438,206.39,-55.97972738488644,-54.09131613481609,-66.85564762320108,-54.29968835705616,-53.701785534858786
1614489840,205.42,207.21,204.96,207.13,745.927,1614490019999,207.13,True,202.8,207.38,197.88,207.13,2021-02-28 05:24:00,198.47641209041925,198.74262505535043,207.91058790958076,207.21437494464956,205.48,-55.97972738488644,-54.09131613481609,-58.22041553748873,-53.558444997827685,-53.33644640070097
1614490020,207.02,207.02,206.2,206.78,277.848,1614490199999,206.78,True,201.92,207.38,197.88,206.78,2021-02-28 05:27:00,198.44794234558654,198.47641209041925,208.42705765441346,207.91058790958076,207.13,-55.97972738488644,-54.09131613481609,-59.3978102189781,-53.94655738286709,-53.68697391448085
1614490200,206.74,206.85,205.74,206.57,606.769,1614490379999,206.57,True,202.8,207.38,197.88,206.57,2021-02-28 05:30:00,198.4185786104731,198.44794234558654,208.8414213895269,208.42705765441346,206.78,-55.97972738488644,-54.09131613481609,-60.35583941605843,-53.96667800940565,-53.66243222813647
1614490380,206.59,206.59,205.46,205.96,299.442,1614490559999,205.96,True,203.4,207.38,197.88,205.96,2021-02-28 05:33:00,198.42000472656443,198.4185786104731,209.09599527343553,208.8414213895269,206.57,-55.97972738488644,-54.09131613481609,-63.138686131386834,-54.24546311020226,-53.82197629966966
