,time_candle,symbol,position,action,price,balance,datetime,usdbal,tradesize,tokenbal,fees,pnl,hold,roi per trade
60,1614697920,,Short,Close,222.92,8032.807139503115,1614697920,8032.5488943877735,35.37931839947049,0.0,3.1547030630439847,76.06553455886176,3600.0,0.0096
61,1614718980,,Short,Open,215.06,,1614718980,8029.335874830019,-37.35026920109632,-37.35026920109632,3.2130195577551097,0.0,,
62,1614729780,,Short,Close,218.37,7902.846434764031,1614729780,7902.444012460212,37.35026920109632,0.0,3.2624713141773616,-123.6293910556289,10800.0,-0.0154
63,1614739860,,Long,Open,221.04,,1614739860,7899.283034855228,35.75119441033393,35.75119441033393,3.160977604984085,0.0,,
64,1614748860,,Long,Close,222.61,7952.611485373447,1614748860,7952.22898072438,-35.75119441033393,0.0,3.183429355073775,56.12937522422504,9000.0,0.0071
65,1614787560,,Short,Open,220.21,,1614787560,7949.04808913209,-36.11202479780382,-36.11202479780382,3.180891592289752,0.0,,
66,1614792600,,Short,Close,219.92,7956.714008713617,1614792600,7956.343873726041,36.11202479780382,0.0,3.1767025974132066,10.472487191363847,5040.0,0.0013
67,1614826800,,Long,Open,221.99,,1614826800,7953.161336176551,35.8410012781028,35.8410012781028,3.1825375494904167,0.0,,
68,1614844980,,Long,Close,219.9,7875.497389016224,1614844980,7875.101069032894,-35.8410012781028,0.0,3.1525744724219225,-74.90769267123498,18180.0,-0.0094
69,1614858480,,Short,Open,214.76,,1614858480,7871.951028605281,-36.66931024880282,-36.66931024880282,3.150040427613158,0.0,,
70,1614862980,,Short,Close,210.87,8011.733665976488,1614862980,8011.501662492258,36.66931024880282,0.0,3.0929829808660205,142.64361686784247,4500.0,0.0181
