datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev
1579139460,160.45,160.53,160.15,160.46,888.95411,1579139639999,160.46,True,158.3002767056997,158.423504584265,165.4617232943003,165.67649541573502,160.48,-41.897226582627454,-41.074872292911294
1579139640,160.46,160.73,160.07,160.72,570.19273,1579139819999,160.72,True,158.26632055650802,158.3002767056997,165.174679443492,165.4617232943003,160.46,-41.897226582627454,-41.074872292911294
1579139820,160.73,160.75,160.38,160.48,574.85405,1579139999999,160.48,True,158.2508817238545,158.26632055650802,164.8431182761455,165.174679443492,160.72,-41.897226582627454,-41.074872292911294
1579140000,160.47,160.48,159.57,160.25,1342.97079,1579140179999,160.25,True,158.29029505779425,158.2508817238545,164.41870494220575,164.8431182761455,160.48,-43.44277449139619,-41.897226582627454
1579140180,160.33,160.33,159.41,160.18,1750.1773,1579140359999,160.18,True,158.38679624413484,158.29029505779425,163.94020375586516,164.41870494220575,160.25,-43.44277449139619,-41.897226582627454
1579140360,160.13,160.78,160.13,160.75,669.03179,1579140539999,160.75,True,158.50533139230356,158.38679624413484,163.5606686076964,163.94020375586516,160.18,-43.44277449139619,-41.897226582627454
1579140540,160.77,161.46,160.63,161.25,2002.35795,1579140719999,161.25,True,158.74419975415,158.50533139230356,163.09780024584998,163.5606686076964,160.75,-43.44277449139619,-41.897226582627454
1579140720,161.22,161.64,160.99,161.26,1297.70202,1579140899999,161.26,True,158.96941873554937,158.74419975415,162.6875812644506,163.09780024584998,161.25,-43.44277449139619,-41.897226582627454
1579140900,161.29,161.39,161.03,161.29,1039.30769,1579141079999,161.29,True,159.13966115232415,158.96941873554937,162.38333884767582,162.6875812644506,161.26,-43.44277449139619,-41.897226582627454
1579141080,161.3,161.62,161.01,161.48,644.36281,1579141259999,161.48,True,159.15779712204304,159.13966115232415,162.34420287795697,162.38333884767582,161.29,-43.44277449139619,-41.897226582627454
1579141260,161.45,161.55,161.41,161.49,351.3008,1579141439999,161.49,True,159.1697949116045,159.15779712204304,162.3182050883955,162.34420287795697,161.48,-43.44277449139619,-41.897226582627454
1579141440,161.46,161.49,160.79,160.84,588.48449,1579141619999,160.84,True,159.21058350340485,159.1697949116045,162.18941649659513,162.3182050883955,161.49,-43.44277449139619,-41.897226582627454
1579141620,160.85,160.92,160.42,160.87,1178.26447,1579141799999,160.87,True,159.3227820724653,159.21058350340485,161.9612179275347,162.18941649659513,160.84,-43.44277449139619,-41.897226582627454
1579141800,160.82,161.13,160.64,161.13,543.50245,1579141979999,161.13,True,159.3316384805708,159.3227820724653,161.93836151942924,161.9612179275347,160.87,-43.44277449139619,-41.897226582627454
1579141980,161.13,161.15,160.89,160.89,592.82954,1579142159999,160.89,True,159.46073660254217,159.3316384805708,161.91926339745783,161.93836151942924,161.13,-43.44277449139619,-41.897226582627454
1579142160,160.9,160.96,160.67,160.92,395.34143,1579142339999,160.92,True,159.53205287054914,159.46073660254217,161.92694712945087,161.91926339745783,160.89,-43.44277449139619,-41.897226582627454
1579142340,160.9,161.36,160.86,161.25,1068.49921,1579142519999,161.25,True,159.85205650198412,159.53205287054914,161.79794349801585,161.92694712945087,160.92,-43.44277449139619,-41.897226582627454
1579142520,161.25,161.38,161.02,161.17,377.36581,1579142699999,161.17,True,159.9707929724674,159.85205650198412,161.78620702753256,161.79794349801585,161.25,-43.44277449139619,-41.897226582627454
1579142700,161.18,161.36,161.11,161.15,338.39307,1579142879999,161.15,True,160.03338253172691,159.9707929724674,161.7976174682731,161.78620702753256,161.17,-43.44277449139619,-41.897226582627454
1579142880,161.12,161.12,160.52,160.81,1231.46494,1579143059999,160.81,True,160.07790993429688,160.03338253172691,161.7860900657031,161.7976174682731,161.15,-43.44277449139619,-41.897226582627454
1579143060,160.81,160.89,160.63,160.7,184.04804,1579143239999,160.7,True,160.1169460958723,160.07790993429688,161.77105390412774,161.7860900657031,160.81,-43.44277449139619,-41.897226582627454
1579143240,160.75,160.75,160.5,160.61,964.92795,1579143419999,160.61,True,160.1017843088403,160.1169460958723,161.7752156911597,161.77105390412774,160.7,-43.44277449139619,-41.897226582627454
1579143420,160.6,160.69,160.29,160.29,712.18066,1579143599999,160.29,True,160.05994993795943,160.1017843088403,161.79805006204057,161.7752156911597,160.61,-43.44277449139619,-41.897226582627454
1579143600,160.28,160.35,160.0,160.1,525.62911,1579143779999,160.1,True,160.01884815801847,160.05994993795943,161.8241518419815,161.79805006204057,160.29,-44.99573536310841,-43.44277449139619
1579143780,160.1,160.74,160.01,160.69,430.20715,1579143959999,160.69,True,160.12232570651622,160.01884815801847,161.77167429348378,161.8241518419815,160.1,-44.99573536310841,-43.44277449139619
1579143960,160.73,160.73,160.18,160.34,571.87087,1579144139999,160.34,True,160.05182614773693,160.12232570651622,161.80117385226302,161.77167429348378,160.69,-44.99573536310841,-43.44277449139619
1579144140,160.38,160.4,159.6,159.66,1150.00062,1579144319999,159.66,True,159.78483071484268,160.05182614773693,161.90916928515733,161.80117385226302,160.34,-44.99573536310841,-43.44277449139619
1579144320,159.66,159.66,159.18,159.34,1172.58894,1579144499999,159.34,True,159.4723179009893,159.78483071484268,162.0296820990107,161.90916928515733,159.66,-44.99573536310841,-43.44277449139619
1579144500,159.33,160.13,159.33,159.85,2511.65052,1579144679999,159.85,True,159.3578326713359,159.4723179009893,162.0001673286641,162.0296820990107,159.34,-44.99573536310841,-43.44277449139619
1579144680,159.85,160.0,159.8,159.85,2166.11562,1579144859999,159.85,True,159.28509099826758,159.3578326713359,161.90990900173247,162.0001673286641,159.85,-44.99573536310841,-43.44277449139619
1579144860,159.86,160.1,159.85,160.02,518.69597,1579145039999,160.02,True,159.27045990876744,159.28509099826758,161.77754009123257,161.90990900173247,159.85,-44.99573536310841,-43.44277449139619
1579145040,160.01,160.03,159.46,159.57,2955.21308,1579145219999,159.57,True,159.1322131605611,159.27045990876744,161.78878683943884,161.77754009123257,160.02,-44.99573536310841,-43.44277449139619
1579145220,159.58,159.63,158.7,159.41,3176.43304,1579145399999,159.41,True,158.97906452479157,159.1322131605611,161.7959354752084,161.78878683943884,159.57,-44.99573536310841,-43.44277449139619
1579145400,159.41,159.72,159.15,159.7,748.78662,1579145579999,159.7,True,158.92465397534448,158.97906452479157,161.70734602465546,161.7959354752084,159.41,-44.99573536310841,-43.44277449139619
1579145580,159.71,160.36,159.64,159.98,967.53711,1579145759999,159.98,True,158.9038959140175,158.92465397534448,161.6371040859825,161.70734602465546,159.7,-44.99573536310841,-43.44277449139619
1579145760,159.94,160.38,159.84,160.23,1288.34468,1579145939999,160.23,True,158.91306207238452,158.9038959140175,161.55893792761546,161.6371040859825,159.98,-44.99573536310841,-43.44277449139619
1579145940,160.23,160.33,160.09,160.26,424.10988,1579146119999,160.26,True,158.97596398326073,158.91306207238452,161.3970360167392,161.55893792761546,160.23,-44.99573536310841,-43.44277449139619
1579146120,160.27,160.27,159.76,159.83,387.25189,1579146299999,159.83,True,159.01522511220168,158.97596398326073,161.2237748877983,161.3970360167392,160.26,-44.99573536310841,-43.44277449139619
1579146300,159.86,160.12,159.78,159.93,422.88531,1579146479999,159.93,True,159.09498733904474,159.01522511220168,161.02201266095528,161.2237748877983,159.83,-44.99573536310841,-43.44277449139619
1579146480,159.9,160.08,159.77,159.92,498.97749,1579146659999,159.92,True,159.1344672488642,159.09498733904474,160.8935327511358,161.02201266095528,159.93,-44.99573536310841,-43.44277449139619
1579146660,159.95,160.25,159.84,160.22,490.54389,1579146839999,160.22,True,159.17927039012983,159.1344672488642,160.80072960987013,160.8935327511358,159.92,-44.99573536310841,-43.44277449139619
1579146840,160.19,160.2,160.0,160.13,500.56265,1579147019999,160.13,True,159.2191761517467,159.17927039012983,160.71282384825327,160.80072960987013,160.22,-44.99573536310841,-43.44277449139619
1579147020,160.13,160.18,159.84,159.85,1399.49028,1579147199999,159.85,True,159.21531731163725,159.2191761517467,160.67268268836273,160.71282384825327,160.13,-44.99573536310841,-43.44277449139619
1579147200,159.87,159.91,159.44,159.53,805.35739,1579147379999,159.53,True,159.16345011613646,159.21531731163725,160.66754988386356,160.67268268836273,159.85,-46.635524610223065,-44.99573536310841
1579147380,159.49,159.54,159.29,159.37,302.0673,1579147559999,159.37,True,159.16936565458116,159.16345011613646,160.5296343454188,160.66754988386356,159.53,-46.635524610223065,-44.99573536310841
1579147560,159.35,159.9,159.28,159.85,614.71591,1579147739999,159.85,True,159.19589639142828,159.16936565458116,160.4541036085717,160.5296343454188,159.37,-46.635524610223065,-44.99573536310841
1579147740,159.85,160.37,159.85,160.33,418.30145,1579147919999,160.33,True,159.1876142065758,159.19589639142828,160.52938579342418,160.4541036085717,159.85,-46.635524610223065,-44.99573536310841
1579147920,160.37,160.68,160.21,160.55,832.06963,1579148099999,160.55,True,159.22179643552317,159.1876142065758,160.61620356447685,160.52938579342418,160.33,-46.635524610223065,-44.99573536310841
1579148100,160.57,160.75,160.52,160.66,656.91656,1579148279999,160.66,True,159.17121798966375,159.22179643552317,160.74778201033624,160.61620356447685,160.55,-46.635524610223065,-44.99573536310841
1579148280,160.69,160.7,160.21,160.28,2017.24753,1579148459999,160.28,True,159.17916378834573,159.17121798966375,160.78283621165426,160.74778201033624,160.66,-46.635524610223065,-44.99573536310841
1579148460,160.27,160.36,160.0,160.0,453.61601,1579148639999,160.0,True,159.17835843401178,159.17916378834573,160.7816415659882,160.78283621165426,160.28,-46.635524610223065,-44.99573536310841
1579148640,160.05,160.2,159.97,160.19,367.40001,1579148819999,160.19,True,159.2333448641458,159.17835843401178,160.78865513585424,160.7816415659882,160.0,-46.635524610223065,-44.99573536310841
1579148820,160.19,160.56,160.15,160.49,2392.17581,1579148999999,160.49,True,159.32037166967598,159.2333448641458,160.80962833032402,160.78865513585424,160.19,-46.635524610223065,-44.99573536310841
1579149000,160.55,160.56,160.39,160.43,518.55489,1579149179999,160.43,True,159.36161909889387,159.32037166967598,160.84138090110616,160.80962833032402,160.49,-46.635524610223065,-44.99573536310841
1579149180,160.44,160.72,160.44,160.52,2098.89832,1579149359999,160.52,True,159.3630015690271,159.36161909889387,160.8939984309729,160.84138090110616,160.43,-46.635524610223065,-44.99573536310841
1579149360,160.54,160.88,160.5,160.79,383.5663,1579149539999,160.79,True,159.32291974122322,159.3630015690271,160.99008025877677,160.8939984309729,160.52,-46.635524610223065,-44.99573536310841
1579149540,160.78,161.17,160.66,161.06,546.31621,1579149719999,161.06,True,159.24809436535685,159.32291974122322,161.14490563464312,160.99008025877677,160.79,-46.635524610223065,-44.99573536310841
1579149720,161.06,161.13,160.76,160.91,968.22786,1579149899999,160.91,True,159.2589498863781,159.24809436535685,161.24205011362187,161.14490563464312,161.06,-46.635524610223065,-44.99573536310841
