datetime,open,high,low,close,volume,end_time,adj_close,completed,willr,willr_ema,willr_ema_prev
1579932000,159.64,160.22,159.35,159.42,5634.35544,1579935599999,159.42,True,-73.53801169590672,-53.671818897092805,-52.725809716196906
1579935600,159.4,160.19,159.27,159.53,6234.67582,1579939199999,159.53,True,-71.92982456140359,-54.50172824547057,-53.671818897092805
1579939200,159.53,161.52,159.36,161.22,16420.85998,1579942799999,161.22,True,-47.22222222222224,-54.170841608050196,-54.50172824547057
1579942800,161.25,161.44,160.07,160.48,8741.64687,1579946399999,160.48,True,-57.544378698225145,-54.324184203058145,-54.170841608050196
1579946400,160.49,160.9,158.8,159.45,11129.61488,1579949999999,159.45,True,-71.25000000000028,-55.09353946655551,-54.324184203058145
1579950000,159.48,159.85,158.81,159.29,7330.02858,1579953599999,159.29,True,-73.75000000000024,-55.941560399893916,-55.09353946655551
1579953600,159.3,159.77,158.78,158.83,5363.40148,1579957199999,158.83,True,-80.93749999999994,-57.077739472626014,-55.941560399893916
1579957200,158.83,160.91,158.7,160.06,10134.1639,1579960799999,160.06,True,-50.70422535211289,-56.788034285329964,-57.077739472626014
1579960800,160.12,161.0,160.0,160.01,5601.61484,1579964399999,160.01,True,-38.618925831202574,-55.96216571923327,-56.788034285329964
1579964400,160.0,160.65,159.61,160.41,3916.49583,1579967999999,160.41,True,-34.47204968944143,-54.98534226333364,-55.96216571923327
1579968000,160.43,161.6,160.0,161.04,10853.61254,1579971599999,161.04,True,-18.98305084745778,-53.34887447170292,-54.98534226333364
1579971600,161.06,161.35,160.27,160.39,4774.52795,1579975199999,160.39,True,-41.0169491525428,-52.7883324117411,-53.34887447170292
1579975200,160.39,160.96,159.95,160.6,2329.17731,1579978799999,160.6,True,-34.36426116838492,-51.95087462795219,-52.7883324117411
1579978800,160.63,161.32,160.57,161.0,6817.20991,1579982399999,161.0,True,-20.689655172413556,-50.52991010724588,-51.95087462795219
1579982400,161.0,161.29,160.72,161.19,5834.25026,1579985999999,161.19,True,-14.137931034482614,-48.8757292403021,-50.52991010724588
1579986000,161.2,162.3,161.04,161.58,8882.22496,1579989599999,161.58,True,-19.999999999999844,-47.563196093015634,-48.8757292403021
1579989600,161.61,162.79,161.0,161.1,9319.91668,1579993199999,161.1,True,-41.32029339853292,-47.279427788720966,-47.563196093015634
1579993200,161.12,161.87,160.14,160.35,8295.60365,1579996799999,160.35,True,-59.657701711491335,-47.84207660339235,-47.279427788720966
1579996800,160.36,160.55,159.41,160.12,10695.39271,1580000399999,160.12,True,-65.28117359413167,-48.634762830244135,-47.84207660339235
1580000400,160.12,161.04,159.84,160.28,4942.68629,1580003999999,160.28,True,-61.36919315403396,-49.21360057223458,-48.634762830244135
1580004000,160.28,160.29,159.61,159.64,4127.4248,1580007599999,159.64,True,-77.0171149144255,-50.47739667869781,-49.21360057223458
1580007600,159.67,161.78,159.6,161.22,9505.92065,1580011199999,161.22,True,-46.4497041420117,-50.29431974521208,-50.47739667869781
1580011200,161.22,161.22,160.46,160.86,4779.851,1580014799999,160.86,True,-57.10059171597577,-50.60369574388316,-50.29431974521208
1580014800,160.87,161.69,160.76,161.0,4410.32714,1580018399999,161.0,True,-52.95857988165664,-50.71073593196377,-50.60369574388316
1580018400,161.0,161.4,160.59,160.81,4986.46777,1580021999999,160.81,True,-58.57988165680451,-51.068424374001985,-50.71073593196377
1580022000,160.82,161.38,160.61,161.23,3048.43461,1580025599999,161.23,True,-46.15384615384628,-50.845034454903995,-51.068424374001985
1580025600,161.24,163.63,160.87,162.41,27876.63242,1580029199999,162.41,True,-28.909952606635052,-49.84798527998268,-50.845034454903995
1580029200,162.4,163.0,161.8,162.37,7974.12981,1580032799999,162.37,True,-29.857819905213063,-48.93934139931133,-49.84798527998268
1580032800,162.35,163.24,162.02,162.87,9591.06755,1580036399999,162.87,True,-18.009478672985573,-47.53343854811471,-48.93934139931133
1580036400,162.86,163.45,162.54,163.14,11294.47941,1580039999999,163.14,True,-11.611374407583156,-45.90061745081782,-47.53343854811471
1580040000,163.17,164.1,162.89,163.54,14448.74044,1580043599999,163.54,True,-11.94029850746274,-44.356966589756226,-45.90061745081782
1580043600,163.57,163.94,162.78,163.31,9757.96616,1580047199999,163.31,True,-16.844349680170414,-43.10639309386596,-44.356966589756226
1580047200,163.32,163.67,162.96,163.32,5727.13404,1580050799999,163.32,True,-17.333333333333357,-41.93489037747812,-43.10639309386596
1580050800,163.31,164.0,162.96,163.37,6583.42992,1580054399999,163.37,True,-16.222222222221994,-40.76613273405739,-41.93489037747812
1580054400,163.35,164.75,163.19,164.74,19525.95872,1580057999999,164.74,True,-0.1941747572813766,-38.92195282602212,-40.76613273405739
1580058000,164.74,167.05,164.5,166.44,28669.94959,1580061599999,166.44,True,-9.256449165402326,-37.5735208414485,-38.92195282602212
1580061600,166.42,167.0,165.88,166.36,13140.27064,1580065199999,166.36,True,-10.681114551083542,-36.351138737341,-37.5735208414485
1580065200,166.4,166.5,165.8,166.18,9488.54302,1580068799999,166.18,True,-13.467492260061974,-35.31097298837378,-36.351138737341
1580068800,166.12,167.7,166.0,166.56,14758.82755,1580072399999,166.56,True,-16.078984485190272,-34.43679169277453,-35.31097298837378
1580072400,166.57,167.7,166.51,167.22,6746.85793,1580075999999,167.22,True,-7.027818448023293,-33.19092927255857,-34.43679169277453
1580076000,167.23,167.82,166.56,167.04,9306.8584,1580079599999,167.04,True,-12.956810631229294,-32.271196607043606,-33.19092927255857
1580079600,167.05,168.08,166.91,167.86,10195.20701,1580083199999,167.86,True,-3.6303630363036103,-30.969340535646335,-32.271196607043606
1580083200,167.91,169.75,167.85,168.46,22549.31841,1580086799999,168.46,True,-17.891816920943004,-30.374907644068912,-30.969340535646335
1580086800,168.45,169.54,168.17,168.26,10633.15336,1580090399999,168.26,True,-21.37733142037316,-29.965926906628194,-30.374907644068912
1580090400,168.25,168.41,167.43,167.68,9836.92076,1580093999999,167.68,True,-29.69870875179331,-29.953780626862972,-29.965926906628194
1580094000,167.68,167.95,167.38,167.7,8687.42047,1580097599999,167.7,True,-30.191458026509775,-29.964584145028734,-29.953780626862972
1580097600,167.69,168.67,166.44,166.99,20449.12793,1580101199999,166.99,True,-40.64801178203231,-30.45019449216526,-29.964584145028734
1580101200,166.99,167.6,166.39,167.1,8662.00235,1580104799999,167.1,True,-40.39634146341471,-30.90229208176751,-30.45019449216526
1580104800,167.12,167.87,166.87,167.4,8080.63788,1580108399999,167.4,True,-44.76190476190465,-31.5322744763192,-30.90229208176751
1580108400,167.39,167.59,167.03,167.32,6528.28513,1580111999999,167.32,True,-61.5189873417725,-32.895306879294345,-31.5322744763192
1580112000,167.32,167.35,165.22,165.86,22098.27797,1580115599999,165.86,True,-85.87196467991137,-35.30333677932239,-32.895306879294345
1580115600,165.82,166.71,165.37,166.5,9335.12997,1580119199999,166.5,True,-71.74392935982338,-36.959727351163345,-35.30333677932239
1580119200,166.51,167.41,165.76,165.94,11596.14998,1580122799999,165.94,True,-84.10596026490069,-39.10273793815141,-36.959727351163345
1580122800,165.99,168.9,165.8,168.6,22909.39727,1580126399999,168.6,True,-25.386313465783783,-38.479264098498334,-39.10273793815141
1580126400,168.57,170.07,168.16,169.55,26134.13405,1580129999999,169.55,True,-10.72164948453572,-37.21755434331821,-38.479264098498334
1580130000,169.58,170.9,168.76,169.1,21697.22355,1580133599999,169.1,True,-31.690140845070584,-36.96630827521605,-37.21755434331821
1580133600,169.1,170.1,168.76,170.07,12920.67882,1580137199999,170.07,True,-14.61267605633823,-35.950234083448876,-36.96630827521605
1580137200,170.06,170.78,169.53,170.03,16165.06544,1580140799999,170.03,True,-15.316901408450766,-35.01235532549442,-35.950234083448876
1580140800,170.01,171.2,169.09,170.3,20596.94466,1580144399999,170.3,True,-15.050167224079914,-34.10498313906649,-35.01235532549442
1580144400,170.3,171.24,169.42,169.7,13702.76996,1580147999999,169.7,True,-25.581395348837507,-33.71754733041972,-34.10498313906649
1580148000,169.7,171.27,169.16,171.27,13803.57998,1580151599999,171.27,True,-0.0,-32.18493154267337,-33.71754733041972
1580151600,171.25,172.56,170.26,171.2,35922.69229,1580155199999,171.2,True,-18.52861035422361,-31.56418967047111,-32.18493154267337
1580155200,171.2,172.0,171.0,171.97,11944.18314,1580158799999,171.97,True,-8.03814713896462,-30.49482410085718,-31.56418967047111
1580158800,171.99,172.04,170.64,171.59,12770.04315,1580162399999,171.59,True,-13.215258855585809,-29.70938931698121,-30.49482410085718
1580162400,171.58,171.66,169.63,170.2,9153.37013,1580165999999,170.2,True,-32.82336578581383,-29.85093370192815,-29.70938931698121
1580166000,170.2,170.85,169.88,170.08,9718.31252,1580169599999,170.08,True,-36.4705882352939,-30.151827089808414,-29.85093370192815
1580169600,170.04,172.75,170.03,171.44,22419.0878,1580173199999,171.44,True,-18.848920863309417,-29.638058624967552,-30.151827089808414
1580173200,171.44,174.0,171.44,173.41,30317.78399,1580176799999,173.41,True,-10.10273972602745,-28.75008958410664,-29.638058624967552
1580176800,173.43,173.56,172.66,173.26,12813.64597,1580180399999,173.26,True,-14.122137404580302,-28.08518266685544,-28.75008958410664
1580180400,173.26,173.31,172.1,173.12,10792.14222,1580183999999,173.12,True,-16.793893129770876,-27.5719422333516,-28.08518266685544
1580184000,173.12,173.72,172.26,172.43,18242.83565,1580187599999,172.43,True,-31.975560081466277,-27.772106680993176,-27.5719422333516
1580187600,172.41,172.75,171.22,172.14,15695.92268,1580191199999,172.14,True,-37.88187372708788,-28.231641546724752,-27.772106680993176
1580191200,172.1,172.46,170.65,171.54,16541.23092,1580194799999,171.54,True,-50.82644628099187,-29.25867812555508,-28.231641546724752
1580194800,171.55,172.98,171.24,172.0,24513.95345,1580198399999,172.0,True,-41.32231404958675,-29.807025213011066,-29.25867812555508
1580198400,171.98,171.98,170.83,171.0,15399.47185,1580201999999,171.0,True,-68.64988558352395,-31.572609775307107,-29.807025213011066
1580202000,171.03,171.49,170.54,170.7,13056.51904,1580205599999,170.7,True,-75.51487414187662,-33.569985428333,-31.572609775307107
1580205600,170.7,172.21,170.23,171.89,14347.61173,1580209199999,171.89,True,-48.283752860412164,-34.23879303888205,-33.569985428333
1580209200,171.88,173.13,171.44,171.95,19999.63103,1580212799999,171.95,True,-46.91075514874163,-34.81479131660294,-34.23879303888205
1580212800,171.93,172.08,170.51,171.48,18734.31805,1580216399999,171.48,True,-61.1650485436895,-36.01253028147052,-34.81479131660294
1580216400,171.51,172.57,171.16,172.0,19685.12818,1580219999999,172.0,True,-50.37783375314863,-36.66549862109225,-36.01253028147052
1580220000,172.0,174.55,171.8,172.14,44363.82419,1580223599999,172.14,True,-55.78703703703734,-37.53465945818066,-36.66549862109225
1580223600,172.14,173.06,170.64,172.35,46304.63722,1580227199999,172.35,True,-50.925925925926066,-38.14335338853273,-37.53465945818066
1580227200,172.34,172.96,171.06,171.1,17444.90435,1580230799999,171.1,True,-79.8611111111111,-40.03961510319539,-38.14335338853273
1580230800,171.11,171.53,170.04,171.03,17154.59569,1580234399999,171.03,True,-78.04878048780478,-41.76730443885945,-40.03961510319539
1580234400,171.01,171.7,170.71,170.97,8056.98866,1580237999999,170.97,True,-79.37915742793786,-43.4769341201812,-41.76730443885945
1580238000,170.95,171.86,170.6,171.23,8674.56377,1580241599999,171.23,True,-73.61419068736159,-44.846809418689396,-43.4769341201812
1580241600,171.18,172.75,171.15,172.43,11613.80143,1580245199999,172.43,True,-47.00665188470057,-44.94498407623536,-44.846809418689396
1580245200,172.44,174.01,171.95,171.95,13819.0884,1580248799999,171.95,True,-57.64966740576522,-45.52246968212308,-44.94498407623536
1580248800,171.94,174.29,171.92,173.6,9552.85426,1580252399999,173.6,True,-21.064301552106716,-44.410734767122335,-45.52246968212308
1580252400,173.58,176.2,173.19,175.64,43889.35556,1580255999999,175.64,True,-9.090909090909133,-42.80528814547628,-44.410734767122335
1580256000,175.58,176.99,175.14,175.8,27001.99772,1580259599999,175.8,True,-17.122302158273307,-41.637879691512516,-42.80528814547628
1580259600,175.8,177.56,175.76,176.89,20178.21516,1580263199999,176.89,True,-8.909574468085307,-40.15022945408401,-41.637879691512516
1580263200,176.89,177.37,175.53,175.79,14554.50032,1580266799999,175.79,True,-23.537234042553294,-39.39509329901444,-40.15022945408401
1580266800,175.83,176.8,175.79,176.47,12925.45673,1580270399999,176.47,True,-14.494680851063855,-38.26325636956214,-39.39509329901444
1580270400,176.47,177.15,175.86,176.33,10791.60453,1580273999999,176.33,True,-16.356382978723246,-37.26748939725128,-38.26325636956214
1580274000,176.33,177.06,176.22,176.8,9889.75386,1580277599999,176.8,True,-10.10638297872327,-36.032893650954556,-37.26748939725128
1580277600,176.8,178.45,176.75,177.46,16085.55873,1580281199999,177.46,True,-11.771700356717968,-34.93011213758017,-36.032893650954556
1580281200,177.42,178.3,176.82,178.08,19499.68598,1580284799999,178.08,True,-4.713375796178044,-33.55662412206189,-34.93011213758017
1580284800,178.03,178.35,177.57,178.32,10069.03104,1580288399999,178.32,True,-1.656050955413956,-32.106598069032444,-33.55662412206189
1580288400,178.33,178.35,176.05,176.39,14872.28059,1580291999999,176.39,True,-28.219178082191878,-31.929897160539692,-32.106598069032444
1580292000,176.38,178.14,174.53,177.75,27430.24595,1580295599999,177.75,True,-10.71975497702892,-30.96579978856193,-31.929897160539692
1580295600,177.77,177.92,175.0,176.17,19941.23853,1580299199999,176.17,True,-34.91577335375192,-31.145344041525114,-30.96579978856193
1580299200,176.19,176.34,174.8,175.59,10141.33124,1580302799999,175.59,True,-54.3726235741443,-32.20112947482599,-31.145344041525114
1580302800,175.59,176.54,175.01,175.83,11386.71179,1580306399999,175.83,True,-66.83673469387716,-33.77547516660104,-32.20112947482599
1580306400,175.87,176.53,175.14,176.43,7457.11162,1580309999999,176.43,True,-51.53061224489766,-34.582526851978166,-33.77547516660104
1580310000,176.43,176.49,174.93,175.09,11617.08476,1580313599999,175.09,True,-85.71428571428561,-36.90669770935578,-34.582526851978166
1580313600,175.1,177.13,174.59,176.79,13267.92985,1580317199999,176.79,True,-42.34693877551025,-37.15398139418099,-36.90669770935578
1580317200,176.79,176.9,175.91,176.1,8486.02958,1580320799999,176.1,True,-59.94897959183678,-38.190117675892616,-37.15398139418099
1580320800,176.11,176.69,175.96,176.38,5377.8967,1580324399999,176.38,True,-52.806122448979586,-38.85448152921475,-38.190117675892616
1580324400,176.38,176.92,175.63,176.63,8314.16931,1580327999999,176.63,True,-46.4285714285714,-39.198758342821876,-38.85448152921475
1580328000,176.63,176.83,175.55,176.5,6439.49843,1580331599999,176.5,True,-48.429319371727686,-39.61832929868123,-39.198758342821876
1580331600,176.46,177.24,175.49,176.11,12723.92116,1580335199999,176.11,True,-58.63874345549698,-40.4828935785365,-39.61832929868123
1580335200,176.11,176.37,175.25,175.88,4909.02246,1580338799999,175.88,True,-64.65968586387443,-41.581838682415494,-40.4828935785365
